Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Kaufeld, Greta; Bosker, Hans Rutger; Ten Oever, Sanne; Alday, Phillip M; Meyer, Antje S; Martin, Andrea E; ",Linguistic structure and meaning organize neural oscillations into a content-specific hierarchy,Journal of Neuroscience,40,49,9467-9475,2020,Society for Neuroscience
"Archila-Meléndez, Mario E; Valente, Giancarlo; Gommer, Erik D; Correia, João M; Ten Oever, Sanne; Peters, Judith C; Reithler, Joel; Hendriks, Marc PH; Ochoa, William Cornejo; Schijns, Olaf EMG; ",Combining gamma with alpha and beta power modulation for enhanced cortical mapping in patients with focal epilepsy,Frontiers in Human Neuroscience,14,,,2020,Frontiers Media SA
"Van Der Werf, Olof J; Ten Oever, Sanne; Schuhmann, Teresa; Sack, Alexander T; ","No evidence of rhythmic visuospatial attention at cued locations in a spatial cuing paradigm, regardless of their behavioural relevance",European Journal of Neuroscience,,,,2021,
"Bien, Nina; van Atteveldt, Nienke; ten Oever, Sanne; Wheat, Katherine L; Sack, Alexander; ",Audiovisual onset differences are used to determine the identity of ambiguous syllables,Multisensory Research,26,1-2,107-107,2013,Brill
"Petras, Kirsten; Ten Oever, Sanne; Dalal, Sarang S; Goffaux, Valerie; ",Information redundancy across spatial scales modulates early visual cortical processing,NeuroImage,244,,118613,2021,Academic Press
"ten Oever, Sanne; ",date: 2020-04-07T09: 30: 27Z pdf: PDFVersion: 1.7 pdf: docinfo: title: The sound of size xmp: CreatorTool: Elsevier access_permission: can_print_degraded: true,,,,,,
"Ten Oever, Sanne; Martin, Andrea E; ",An oscillating computational model can track pseudo-rhythmic speech by using linguistic predictions,Elife,10,,e68066,2021,eLife Sciences Publications Limited
"Janssens, SEW; Sack, AT; Ten Oever, S; de Graaf, TA; ",Calibrating rhythmic stimulation parameters to individual EEG markers: the consistency of individual alpha frequency in practical lab settings.,The European Journal of Neuroscience,,,,2021,
"Schilberg, Lukas; Ten Oever, Sanne; Schuhmann, Teresa; Sack, Alexander T; ",Phase and power modulations on the amplitude of TMS-induced motor evoked potentials,PloS one,16,9,e0255815,2021,"Public Library of Science San Francisco, CA USA"
"Ten Oever, Sanne; Sack, Alexander T; Oehrn, Carina R; Axmacher, Nikolai; ",An engram of intentionally forgotten information,Nature communications,12,1,1-14,2021,Nature Publishing Group
